# x   u(x,0.5)
1.000000000000000056e-01 2.286520786578452764e-03
2.000000000000000111e-01 4.349220987439514699e-03
3.000000000000000444e-01 5.986189135245533789e-03
4.000000000000000222e-01 7.037187382261516147e-03
5.000000000000000000e-01 7.399336697334163784e-03
6.000000000000000888e-01 7.037187382261517882e-03
7.000000000000000666e-01 5.986189135245535524e-03
8.000000000000000444e-01 4.349220987439516434e-03
9.000000000000000222e-01 2.286520786578454065e-03
