# x   u(x,0.5)
1.000000000000000056e-01 2.341991428529201572e-03
2.000000000000000111e-01 4.454729238704280454e-03
3.000000000000000444e-01 6.131404588161217667e-03
4.000000000000000222e-01 7.207893719465102017e-03
5.000000000000000000e-01 7.578823442519362456e-03
6.000000000000000888e-01 7.207885691940488226e-03
7.000000000000000666e-01 6.131391552614964130e-03
8.000000000000000444e-01 4.454715654926917102e-03
9.000000000000000222e-01 2.341982298221531936e-03
