# x   u(x,0.5)
1.000000000000000056e-01 2.898063331452285524e-03
2.000000000000000111e-01 5.512438902341088715e-03
3.000000000000000444e-01 7.587214861770385198e-03
4.000000000000000222e-01 8.919299581758756076e-03
5.000000000000000000e-01 9.378301018224706811e-03
6.000000000000000888e-01 8.919290100206889518e-03
7.000000000000000666e-01 7.587198628612463157e-03
8.000000000000000444e-01 5.512421086890006462e-03
9.000000000000000222e-01 2.898050826189302407e-03
